1674185100000.00,21089.99,21104.67,21089.34,21101.99,123.85
1674185160000.00,21101.99,21105.97,21096.26,21097.73,77.81
1674185220000.00,21097.73,21098.33,21090.00,21093.47,88.77
1674185280000.00,21092.85,21100.57,21089.39,21095.51,92.88
1674185340000.00,21095.87,21098.76,21094.01,21096.44,38.60
1674185400000.00,21096.02,21108.69,21094.84,21104.02,131.44
1674185460000.00,21104.02,21105.34,21097.27,21101.03,86.33
1674185520000.00,21101.26,21103.87,21094.98,21095.84,84.68
1674185580000.00,21095.72,21100.08,21095.15,21096.45,60.06
1674185640000.00,21096.45,21099.37,21095.21,21095.50,38.04
1674185700000.00,21095.50,21098.89,21091.17,21091.19,62.99
1674185760000.00,21091.19,21092.56,21078.43,21079.49,166.94
1674185820000.00,21079.88,21087.69,21078.33,21081.64,132.10
1674185880000.00,21081.64,21085.92,21078.33,21081.79,72.00
1674185940000.00,21081.21,21084.54,21075.01,21080.11,109.60
1674186000000.00,21080.98,21088.74,21075.85,21088.06,129.73
1674186060000.00,21087.50,21094.19,21083.75,21092.98,156.72
1674186120000.00,21092.98,21100.00,21092.67,21099.97,117.17
1674186180000.00,21099.96,21103.42,21095.10,21102.55,78.08
1674186240000.00,21103.06,21109.78,21101.86,21105.52,137.70
1674186300000.00,21105.52,21112.43,21095.35,21099.26,148.92
1674186360000.00,21099.95,21112.66,21095.33,21112.46,145.76
1674186420000.00,21111.61,21113.61,21097.77,21098.25,150.65
1674186480000.00,21098.25,21104.93,21093.23,21099.73,107.73
1674186540000.00,21100.27,21100.47,21093.25,21098.74,78.23
1674186600000.00,21098.36,21104.53,21095.51,21097.08,106.74
1674186660000.00,21097.08,21103.91,21096.40,21096.94,62.96
1674186720000.00,21096.94,21099.37,21091.84,21095.41,113.88
1674186780000.00,21094.78,21098.34,21088.32,21089.72,82.88
1674186840000.00,21089.94,21096.85,21089.05,21094.38,145.44
1674186900000.00,21093.71,21094.89,21088.07,21089.39,46.61
1674186960000.00,21088.56,21089.46,21082.26,21084.24,96.79
1674187020000.00,21084.24,21089.84,21073.45,21080.63,185.58
1674187080000.00,21080.63,21086.93,21076.98,21082.65,99.63
1674187140000.00,21082.92,21092.54,21081.48,21087.74,87.68
1674187200000.00,21087.74,21095.88,21083.35,21087.91,170.05
1674187260000.00,21086.95,21097.12,21086.76,21092.79,92.44
1674187320000.00,21092.79,21096.78,21087.59,21087.99,95.64
1674187380000.00,21088.89,21090.18,21086.57,21087.45,50.57
1674187440000.00,21088.04,21096.92,21086.90,21095.94,75.28
1674187500000.00,21095.94,21098.32,21090.44,21097.53,78.73
1674187560000.00,21097.29,21097.29,21089.26,21091.70,76.79
1674187620000.00,21091.96,21096.62,21085.00,21085.58,124.71
1674187680000.00,21085.00,21087.04,21080.51,21083.09,91.91
1674187740000.00,21083.09,21085.77,21082.21,21084.82,41.38
1674187800000.00,21084.82,21092.65,21083.88,21090.75,116.94
1674187860000.00,21090.12,21092.08,21085.60,21087.98,58.15
1674187920000.00,21087.98,21093.58,21086.29,21093.51,58.35
1674187980000.00,21093.51,21099.39,21092.67,21098.07,116.40
1674188040000.00,21097.51,21102.74,21097.49,21100.47,81.45
1674188100000.00,21100.83,21106.29,21097.06,21097.10,128.01
1674188160000.00,21097.55,21102.27,21095.68,21101.88,106.08
1674188220000.00,21101.88,21104.82,21095.13,21102.31,87.49
1674188280000.00,21103.02,21110.11,21100.84,21106.69,91.50
1674188340000.00,21106.54,21111.73,21104.15,21110.85,77.54
1674188400000.00,21111.30,21116.92,21106.93,21116.68,120.26
1674188460000.00,21115.83,21117.89,21109.57,21113.79,108.51
1674188520000.00,21114.53,21114.62,21105.69,21108.03,113.04
1674188580000.00,21107.55,21110.67,21104.44,21108.71,94.70
1674188640000.00,21109.19,21111.10,21104.73,21107.50,57.87
1674188700000.00,21107.50,21109.77,21103.65,21105.22,59.82
1674188760000.00,21104.33,21105.56,21100.36,21101.19,57.39
1674188820000.00,21101.19,21114.53,21100.63,21113.73,119.89
1674188880000.00,21113.73,21125.19,21113.01,21120.47,236.00
1674188940000.00,21120.97,21127.22,21119.33,21123.72,97.24
1674189000000.00,21123.72,21127.33,21120.23,21122.76,91.41
1674189060000.00,21122.76,21122.76,21109.88,21119.32,199.50
1674189120000.00,21119.32,21123.16,21116.50,21120.29,95.80
1674189180000.00,21119.59,21123.42,21116.91,21122.06,105.90
1674189240000.00,21122.07,21123.00,21108.81,21109.30,147.10
1674189300000.00,21109.30,21114.07,21105.68,21110.39,109.56
1674189360000.00,21111.00,21113.20,21108.63,21109.66,40.72
1674189420000.00,21109.66,21110.52,21099.65,21100.70,76.06
1674189480000.00,21100.70,21101.27,21081.86,21082.81,301.26
1674189540000.00,21083.34,21087.00,21076.65,21079.53,201.50
1674189600000.00,21079.02,21082.34,21071.22,21072.49,178.54
1674189660000.00,21071.55,21073.40,21058.55,21060.21,245.14
1674189720000.00,21060.22,21063.02,21043.43,21050.89,520.18
1674189780000.00,21051.53,21065.98,21043.31,21054.59,268.68
1674189840000.00,21055.06,21056.24,21033.92,21037.37,325.45
1674189900000.00,21037.37,21048.96,21027.17,21032.09,282.59
1674189960000.00,21032.09,21044.50,21026.69,21043.04,247.85
1674190020000.00,21042.33,21054.83,21040.50,21054.31,179.45
1674190080000.00,21054.30,21056.19,21046.48,21049.30,217.76
1674190140000.00,21048.77,21056.41,21047.06,21049.13,128.56
1674190200000.00,21049.63,21055.59,21048.95,21055.49,83.26
1674190260000.00,21055.49,21055.93,21046.63,21051.63,99.36
1674190320000.00,21051.63,21054.18,20985.00,20986.45,659.12
1674190380000.00,20988.70,21008.69,20974.79,21005.14,674.61
1674190440000.00,21005.14,21013.35,20977.75,20983.04,310.30
1674190500000.00,20983.03,20998.91,20972.24,20996.76,274.44
1674190560000.00,20996.77,21006.06,20979.97,20991.18,247.53
1674190620000.00,20990.07,21003.26,20977.70,20981.27,281.28
1674190680000.00,20982.25,20999.90,20974.61,20988.71,260.51
1674190740000.00,20989.58,20999.96,20984.43,20991.01,177.18
1674190800000.00,20991.01,20998.76,20984.45,20998.00,174.98
1674190860000.00,20997.11,21006.51,20981.31,20982.72,277.39
1674190920000.00,20982.73,20984.49,20953.23,20974.29,640.56
1674190980000.00,20974.29,20991.89,20964.88,20984.82,270.31
1674191040000.00,20984.82,21008.90,20983.49,21005.54,239.97
1674191100000.00,21006.29,21010.36,20994.31,20995.64,211.94
1674191160000.00,20994.36,21000.36,20990.92,20993.01,107.55
1674191220000.00,20993.01,21014.71,20991.06,21013.91,200.00
1674191280000.00,21012.80,21018.52,20999.16,21004.15,199.03
1674191340000.00,21004.75,21013.85,21002.58,21005.63,167.03
1674191400000.00,21005.63,21013.55,21001.14,21009.38,193.37
1674191460000.00,21009.38,21012.26,20996.59,20997.57,96.01
1674191520000.00,20997.56,21013.00,20996.59,21010.67,175.33
1674191580000.00,21010.67,21021.60,21008.00,21010.78,187.66
1674191640000.00,21010.78,21021.57,21010.07,21018.95,135.07
1674191700000.00,21018.95,21034.95,21016.48,21029.82,290.09
1674191760000.00,21029.82,21037.78,21022.84,21023.13,238.21
1674191820000.00,21023.97,21025.38,21014.09,21018.86,139.62
1674191880000.00,21018.86,21029.31,21016.83,21029.00,108.81
1674191940000.00,21029.00,21029.54,21020.27,21022.84,62.76
1674192000000.00,21022.84,21023.31,21011.87,21014.76,125.86
1674192060000.00,21013.65,21015.11,21001.00,21013.04,174.76
1674192120000.00,21013.04,21013.16,21000.12,21002.63,146.66
1674192180000.00,21002.63,21006.35,20988.26,20994.63,190.66
1674192240000.00,20994.89,21000.03,20981.19,20984.13,240.91
1674192300000.00,20984.94,20991.82,20975.17,20991.01,182.82
1674192360000.00,20991.80,20993.32,20964.29,20967.73,257.12
1674192420000.00,20967.73,20981.31,20965.00,20969.48,199.18
1674192480000.00,20970.21,20980.77,20965.62,20978.64,147.08
1674192540000.00,20977.83,20985.11,20973.59,20981.81,126.71
1674192600000.00,20982.11,20988.21,20978.60,20980.68,183.31
1674192660000.00,20979.65,20989.12,20971.06,20985.23,159.93
1674192720000.00,20984.00,20987.49,20970.81,20972.14,109.04
1674192780000.00,20971.26,20974.41,20958.81,20966.66,224.18
1674192840000.00,20965.51,20979.63,20962.57,20972.31,205.17
1674192900000.00,20972.31,20991.97,20971.73,20990.69,159.76
1674192960000.00,20990.69,20997.76,20988.46,20994.05,149.52
1674193020000.00,20994.05,20997.46,20987.07,20990.19,110.58
1674193080000.00,20989.45,20990.19,20973.36,20973.37,143.56
1674193140000.00,20974.19,20978.27,20965.72,20969.74,174.01
1674193200000.00,20969.74,20971.62,20954.00,20962.50,354.42
1674193260000.00,20961.63,20965.51,20954.70,20963.39,148.40
1674193320000.00,20963.39,20974.10,20959.93,20963.47,173.29
1674193380000.00,20963.47,20981.36,20962.52,20973.93,128.73
1674193440000.00,20973.93,20975.69,20969.21,20972.72,71.08
1674193500000.00,20972.72,20979.65,20968.25,20969.43,97.02
1674193560000.00,20969.43,20981.19,20967.86,20979.74,94.66
1674193620000.00,20979.74,20994.52,20977.86,20993.74,146.29
1674193680000.00,20993.74,20995.80,20987.86,20995.73,148.18
1674193740000.00,20995.73,20995.90,20986.45,20991.29,96.00
1674193800000.00,20991.29,20995.53,20987.00,20994.81,80.67
1674193860000.00,20994.81,21004.12,20993.86,21002.34,141.46
1674193920000.00,21002.34,21009.05,20998.22,20998.81,159.66
1674193980000.00,20999.36,21002.02,20991.14,20997.18,87.91
1674194040000.00,20997.31,20999.06,20985.37,20986.75,105.50
1674194100000.00,20987.34,20994.34,20986.30,20992.69,67.73
1674194160000.00,20992.69,20997.38,20978.00,20978.53,152.43
1674194220000.00,20979.56,20983.40,20974.70,20980.65,162.21
1674194280000.00,20981.51,20982.38,20976.32,20979.23,104.64
1674194340000.00,20979.23,20986.05,20978.40,20982.27,65.02
1674194400000.00,20983.09,20983.09,20970.40,20973.93,110.76
1674194460000.00,20973.93,20977.88,20964.55,20965.60,138.99
